label	tag	ct
wet-lab	rna-seq	18615
pipeline	alignment	7228
variant	snp	7151
wet-lab	sequencing	6437
wet-lab	next-gen	5949
wet-lab	sequence	5385
pipeline	assembly	4690
variant	vcf	3209
software	python	3017
wet-lab	chip-seq	2999
software	software error	2229
tool	blast	2925
wet-lab	ngs	1911
tool	samtools	1885
pipeline	annotation	1844
tool	fastq	1792
wet-lab	microarray	1511
tool	plink	1414
tool	deseq2	1405
tool	gatk	1343
tool	fastq	1275
tool	biopython	1243
wet-lab	rnaseq	1179
variant	gwas	1150
wet-lab	illumina	1008
software	perl	930
tool	bwa	902
wet-lab	rna	900
variant	cnv	893
tool	bioconductor	881
tool	bedtools	797
tool	bed	760
tool	bcftools	715
tool	sam	704
wet-lab	metagenomics	685
tool	seurat	677
wet-lab	mirna	664
software	linux	638
wet-lab	wgs	620
variant	cancer	615
tool	star	589
tool	bowtie2	569
wet-lab	methylation	568
tool	vcftools	475
wet-lab	scrna-seq	474
wet-lab	transcriptome	438
tool	tophat	437
tool	bowtie	436
tool	picard	426
wet-lab	exome	425
tool	pca	418
tool	cufflinks	416
wet-lab	proteomics	389
variant	snps	362
wet-lab	next-gen-sequencing	349
wet-lab	affymetrix	341
wet-lab	single-cell	325
wet-lab	atac-seq	328
wet-lab	nanopore	258
variant	variant calling	255
wet-lab	scrnaseq	254
tool	machine learning	211
wet-lab	microbiome	206
